id,title,price,google_product_category,identifier_exists,brand,custom_label_0,custom_label_1,custom_label_2
880,"Vparfum Blue Seduction 100 мл, парфум, бергамот, диня, мята",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
881,"Vparfum Meander 50 мл, східний парфум, морква, олібанум, рожевий перець, чорний перець",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
882,"Vparfum Meander 100 мл, східний парфум, морква, олібанум, рожевий перець, чорний перець",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
883,"Vparfum Angels Share 50 мл, парфум, коньяк",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
884,"Vparfum Angels Share 100 мл, парфум, коньяк",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
885,"Vparfum Blue Seduction 50 мл, парфум, бергамот, диня, мята",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
889,"Vparfum Meander 10 мл тестер, східний парфум, морква, олібанум, рожевий перець, чорний перець",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
890,"Vparfum Blue Seduction 10 мл тестер, парфум, бергамот, диня, мята",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
891,"Vparfum Angels Share 125мл, ароматизатор для авто Vparfum, коньяк",625.00 UAH,2789,no,Vparfum,,car_parfum,other
892,"Vparfum Meander 125мл, ароматизатор для авто Vparfum, морква, олібанум, рожевий перець, чорний перець",625.00 UAH,2789,no,Vparfum,,car_parfum,oriental
893,"Vparfum Blue Seduction 125мл, ароматизатор для авто Vparfum, бергамот, диня, мята",625.00 UAH,2789,no,Vparfum,,car_parfum,other
894,"Vparfum Cloud Pink 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
895,"Vparfum Cloud Pink 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
896,"Vparfum Cloud Pink 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
897,"Vparfum Cloud Pink 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
898,"Vparfum In Red 100 мл, парфум, бергамот, імбир, мандарин",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
899,"Vparfum In Red 50 мл, парфум, бергамот, імбир, мандарин",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
900,"Vparfum In Red 10 мл тестер, парфум, бергамот, імбир, мандарин",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
901,"Vparfum In Red 125мл, ароматизатор для авто Vparfum, бергамот, імбир, мандарин",625.00 UAH,2789,no,Vparfum,,car_parfum,other
903,"Vparfum Al Rayhan 100 мл, парфум, білі квіти, лимон, манго",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
904,"Vparfum Al Rayhan 50 мл, парфум, білі квіти, лимон, манго",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
905,"Vparfum Al Rayhan 10 мл тестер, парфум, білі квіти, лимон, манго",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
906,"Vparfum Al Rayhan 125мл, ароматизатор для авто Vparfum, білі квіти, лимон, манго",625.00 UAH,2789,no,Vparfum,,car_parfum,other
907,"Vparfum Hayati 125мл, ароматизатор для авто Vparfum, ананас, малина",625.00 UAH,2789,no,Vparfum,,car_parfum,other
908,"Vparfum Hayati 100 мл, парфум, ананас, малина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
909,"Vparfum Hayati 50 мл, парфум, ананас, малина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
910,"Vparfum Hayati 10 мл тестер, парфум, ананас, малина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
911,"Vparfum Musk Kashmir 125мл, ароматизатор для авто Vparfum, гарденія",625.00 UAH,2789,no,Vparfum,,car_parfum,other
912,"Vparfum Musk Kashmir 100 мл, парфум, гарденія",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
913,"Vparfum Musk Kashmir 50 мл, парфум, гарденія",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
914,"Vparfum Musk Kashmir 10 мл тестер, парфум, гарденія",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
915,"Vparfum Heroine 100 мл, деревинні парфум, рожевий перець",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
916,"Vparfum Heroine 50 мл, деревинні парфум, рожевий перець",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
917,"Vparfum Heroine 10 мл тестер, деревинні парфум, рожевий перець",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
918,"Vparfum Heroine 125мл, ароматизатор для авто Vparfum, рожевий перець",625.00 UAH,2789,no,Vparfum,,car_parfum,derevynni
919,"Vparfum Weekend 100 мл, парфум, мандарин, шавлія",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
920,"Vparfum Weekend 50 мл, парфум, мандарин, шавлія",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
921,"Vparfum Weekend 10 мл тестер, парфум, мандарин, шавлія",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
922,"Vparfum Weekend 125мл, ароматизатор для авто Vparfum, мандарин, шавлія",625.00 UAH,2789,no,Vparfum,,car_parfum,other
923,"Vparfum Aqva Pour Homme Marine 100 мл, водяний парфум, грейпфрут, мандарин, неролі, петітгрейн",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,aquatic
